season,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,games_played_post_asg,games_played_pre_asg,win_pct_post_asg,win_pct_pre_asg,wins_post_asg,wins_pre_asg,season_length,projected_wins_before_asg,actual_wins,projection_difference,post_asg_win_pct_drop,avg_starter_minutes_per_game_post_asg,avg_starter_minutes_per_game_pre_asg,avg_starter_minutes_per_player_post_asg,avg_starter_minutes_per_player_pre_asg,total_starter_minutes_post_asg,total_starter_minutes_pre_asg,starter_minutes_change_per_game,avg_players_used_post_asg,avg_players_used_pre_asg,avg_unique_lineups_post_asg,avg_unique_lineups_pre_asg,max_lineups_in_game_post_asg,max_lineups_in_game_pre_asg,players_used_change,lineups_used_change,win_projection_drop,starter_minutes_drop,players_used_increase,lineup_experimentation_increase,raw_tanking_score,lottery_candidate,tanking_score,score_note
2021-22,1610612757,POR,Portland Trail Blazers,23.0,59.0,0.0869565217391304,0.423728813559322,2.0,25.0,82,34.74576271186441,27.0,-7.745762711864408,-0.33677229182019164,151.37608695652173,163.4090395480226,30.27521739130435,32.68180790960452,3481.65,9641.133333333331,-12.032952591500871,10.2,10.571428571428571,14.2,13.387755102040815,17.0,19.0,-0.3714285714285719,0.8122448979591823,7.745762711864408,12.032952591500871,-0.3714285714285719,0.8122448979591823,20.21953162989589,True,20.21953162989589,Included in tanking score
2022-23,1610612757,POR,Portland Trail Blazers,24.0,58.0,0.2083333333333333,0.4827586206896552,5.0,28.0,82,39.58620689655172,33.0,-6.586206896551722,-0.2744252873563219,159.42222222222222,169.19022988505748,31.884444444444444,33.83804597701149,3826.133333333333,9813.033333333333,-9.76800766283526,9.444444444444445,10.018181818181818,13.0,12.745454545454546,15.0,19.0,-0.573737373737373,0.2545454545454539,6.586206896551722,9.76800766283526,-0.573737373737373,0.2545454545454539,16.035022640195063,True,16.035022640195063,Included in tanking score
2020-21,1610612760,OKC,Oklahoma City Thunder,36.0,36.0,0.1944444444444444,0.4166666666666667,7.0,15.0,72,30.0,22.0,-8.0,-0.2222222222222223,149.2357142857143,154.94583333333333,29.847142857142856,30.98916666666667,5223.25,5578.05,-5.710119047619031,9.833333333333334,10.0,13.166666666666666,12.565217391304348,18.0,18.0,-0.166666666666666,0.6014492753623184,8.0,5.710119047619031,-0.166666666666666,0.6014492753623184,14.144901656314683,True,14.144901656314683,Included in tanking score
2024-25,1610612751,BKN,Brooklyn Nets,28.0,54.0,0.2142857142857142,0.3703703703703703,6.0,20.0,82,30.370370370370363,26.0,-4.370370370370363,-0.1560846560846561,145.97261904761905,153.17777777777778,29.194523809523808,30.635555555555555,4087.233333333333,8271.6,-7.205158730158729,10.714285714285714,10.22222222222222,16.0,15.851851851851851,19.0,23.0,0.4920634920634921,0.1481481481481488,4.370370370370363,7.205158730158729,0.4920634920634921,0.1481481481481488,12.215740740740733,True,12.215740740740733,Included in tanking score
2020-21,1610612739,CLE,Cleveland Cavaliers,36.0,36.0,0.2222222222222222,0.3888888888888889,8.0,14.0,72,28.0,22.0,-6.0,-0.16666666666666669,161.4875,166.84768518518518,32.2975,33.369537037037034,5813.55,6006.516666666666,-5.360185185185173,10.391304347826088,10.217391304347826,14.173913043478262,14.869565217391305,19.0,20.0,0.1739130434782616,-0.695652173913043,6.0,5.360185185185173,0.1739130434782616,-0.695652173913043,10.838446054750392,True,10.838446054750392,Included in tanking score
2025-26,1610612749,MIL,Milwaukee Bucks,29.0,53.0,0.3103448275862069,0.4339622641509434,9.0,23.0,82,35.58490566037736,32.0,-3.584905660377359,-0.1236174365647365,152.62126436781608,159.15942028985506,30.524252873563217,31.831884057971013,4426.016666666666,3660.6666666666665,-6.538155922038982,10.875,10.96078431372549,15.416666666666666,14.627450980392156,23.0,21.0,-0.0857843137254903,0.7892156862745097,3.584905660377359,6.538155922038982,-0.0857843137254903,0.7892156862745097,10.82649295496536,True,10.82649295496536,Included in tanking score
2020-21,1610612754,IND,Indiana Pacers,37.0,35.0,0.4864864864864865,0.4571428571428571,18.0,16.0,72,32.91428571428571,34.0,1.085714285714289,0.02934362934362944,159.0265765765766,169.40857142857143,31.805315315315315,33.88171428571429,5883.983333333334,5929.3,-10.381994851994849,10.76923076923077,9.947368421052632,13.26923076923077,12.578947368421051,18.0,16.0,0.8218623481781382,0.690283400809717,-1.085714285714289,10.381994851994849,0.8218623481781382,0.690283400809717,10.808426315268415,True,10.808426315268415,Included in tanking score
2020-21,1610612741,CHI,Chicago Bulls,38.0,34.0,0.3947368421052631,0.4705882352941176,15.0,16.0,72,33.882352941176464,31.0,-2.882352941176464,-0.07585139318885448,151.66228070175438,159.75,30.33245614035088,31.95,5763.166666666667,5431.5,-8.087719298245617,11.083333333333334,10.15,15.75,17.25,21.0,24.0,0.9333333333333336,-1.5,2.882352941176464,8.087719298245617,0.9333333333333336,-1.5,10.403405572755414,True,10.403405572755414,Included in tanking score
2024-25,1610612755,PHI,Philadelphia 76ers,28.0,54.0,0.1428571428571428,0.3703703703703703,4.0,20.0,82,30.370370370370363,24.0,-6.370370370370363,-0.2275132275132275,163.35416666666669,167.67654320987654,32.670833333333334,33.535308641975305,4573.916666666667,9054.533333333333,-4.322376543209856,10.1,10.407407407407408,15.1,15.48148148148148,19.0,21.0,-0.3074074074074069,-0.3814814814814813,6.370370370370363,4.322376543209856,-0.3074074074074069,-0.3814814814814813,10.003858024691331,True,10.003858024691331,Included in tanking score
2021-22,1610612766,CHA,Charlotte Hornets,22.0,60.0,0.6363636363636364,0.4833333333333333,14.0,29.0,82,39.633333333333326,43.0,3.3666666666666742,0.15303030303030307,157.70833333333334,168.4702777777778,31.541666666666668,33.69405555555556,3469.583333333333,10108.216666666667,-10.761944444444453,11.142857142857142,10.12,16.0,15.28,21.0,21.0,1.0228571428571431,0.7200000000000006,-3.3666666666666742,10.761944444444453,1.0228571428571431,0.7200000000000006,9.138134920634922,True,9.138134920634922,Included in tanking score
2024-25,1610612740,NOP,New Orleans Pelicans,27.0,55.0,0.2962962962962963,0.2363636363636363,8.0,13.0,82,19.381818181818176,21.0,1.6181818181818244,0.059932659932659976,149.45617283950617,161.56363636363636,29.891234567901236,32.31272727272727,4035.3166666666666,8886.0,-12.107463524130196,9.5,10.145454545454545,14.583333333333334,15.709090909090907,18.0,23.0,-0.6454545454545446,-1.125757575757575,-1.6181818181818244,12.107463524130196,-0.6454545454545446,-1.125757575757575,8.718069584736252,True,8.718069584736252,Included in tanking score
2024-25,1610612759,SAS,San Antonio Spurs,30.0,52.0,0.3666666666666666,0.4423076923076923,11.0,23.0,82,36.26923076923077,34.0,-2.2692307692307665,-0.0756410256410257,148.9911111111111,154.17385620915033,29.798222222222225,30.834771241830065,4469.733333333334,7862.866666666667,-5.18274509803922,11.5,11.403846153846152,17.0,16.03846153846154,24.0,22.0,0.0961538461538467,0.96153846153846,2.2692307692307665,5.18274509803922,0.0961538461538467,0.96153846153846,8.509668174962293,True,8.509668174962293,Included in tanking score
2025-26,1610612742,DAL,Dallas Mavericks,28.0,54.0,0.25,0.3518518518518518,7.0,19.0,82,28.851851851851848,26.0,-2.8518518518518476,-0.1018518518518518,148.0315476190476,154.40072463768115,29.60630952380952,30.880144927536232,4144.883333333333,3551.2166666666667,-6.369177018633536,10.8125,11.085106382978724,18.5,19.127659574468087,22.0,29.0,-0.2726063829787239,-0.6276595744680868,2.8518518518518476,6.369177018633536,-0.2726063829787239,-0.6276595744680868,8.320762913038573,True,8.320762913038573,Included in tanking score
