season,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,avg_players_used_post_asg,avg_players_used_pre_asg,avg_unique_lineups_post_asg,avg_unique_lineups_pre_asg,max_lineups_in_game_post_asg,max_lineups_in_game_pre_asg,players_used_change,lineups_used_change
2020-21,1610612737,ATL,Atlanta Hawks,10.916666666666666,10.761904761904763,13.875,16.666666666666668,19.0,22.0,0.15476190476190332,-2.791666666666668
2020-21,1610612738,BOS,Boston Celtics,11.409090909090908,10.96,16.272727272727273,16.84,20.0,22.0,0.44909090909090743,-0.5672727272727265
2020-21,1610612739,CLE,Cleveland Cavaliers,10.391304347826088,10.217391304347826,14.173913043478262,14.869565217391305,19.0,20.0,0.17391304347826164,-0.695652173913043
2020-21,1610612740,NOP,New Orleans Pelicans,10.227272727272727,10.423076923076923,13.772727272727273,12.884615384615385,19.0,18.0,-0.19580419580419672,0.8881118881118883
2020-21,1610612741,CHI,Chicago Bulls,11.083333333333334,10.15,15.75,17.25,21.0,24.0,0.9333333333333336,-1.5
2020-21,1610612742,DAL,Dallas Mavericks,10.875,11.05,15.375,15.9,20.0,22.0,-0.1750000000000007,-0.5250000000000004
2020-21,1610612743,DEN,Denver Nuggets,11.0,11.523809523809524,12.521739130434783,13.952380952380953,16.0,20.0,-0.5238095238095237,-1.4306418219461694
2020-21,1610612744,GSW,Golden State Warriors,10.695652173913043,11.083333333333334,14.652173913043478,13.708333333333334,20.0,21.0,-0.3876811594202909,0.9438405797101446
2020-21,1610612745,HOU,Houston Rockets,9.555555555555555,10.105263157894736,12.851851851851851,14.368421052631579,16.0,22.0,-0.5497076023391809,-1.5165692007797276
2020-21,1610612746,LAC,LA Clippers,11.090909090909092,10.904761904761905,15.772727272727273,14.80952380952381,20.0,19.0,0.18614718614718662,0.9632034632034632
2020-21,1610612747,LAL,Los Angeles Lakers,11.16,11.0,14.76,14.363636363636363,18.0,23.0,0.16000000000000014,0.3963636363636365
2020-21,1610612748,MIA,Miami Heat,10.5,9.904761904761905,14.590909090909092,14.80952380952381,19.0,19.0,0.5952380952380949,-0.21861471861471848
2020-21,1610612749,MIL,Milwaukee Bucks,10.84,10.857142857142858,18.8,18.523809523809526,26.0,26.0,-0.017142857142857792,0.2761904761904752
2020-21,1610612750,MIN,Minnesota Timberwolves,10.695652173913043,11.041666666666666,15.434782608695652,15.666666666666666,19.0,21.0,-0.34601449275362306,-0.23188405797101375
2020-21,1610612751,BKN,Brooklyn Nets,10.434782608695652,10.25,16.304347826086957,13.75,20.0,20.0,0.18478260869565233,2.554347826086957
2020-21,1610612752,NYK,New York Knicks,10.666666666666666,10.714285714285714,11.916666666666666,11.428571428571429,16.0,16.0,-0.04761904761904745,0.48809523809523725
2020-21,1610612753,ORL,Orlando Magic,10.047619047619047,10.1,13.095238095238095,12.4,21.0,16.0,-0.052380952380952195,0.6952380952380945
2020-21,1610612754,IND,Indiana Pacers,10.76923076923077,9.947368421052632,13.26923076923077,12.578947368421053,18.0,16.0,0.8218623481781382,0.690283400809717
2020-21,1610612755,PHI,Philadelphia 76ers,12.0,10.714285714285714,15.304347826086957,14.80952380952381,20.0,22.0,1.2857142857142865,0.4948240165631468
2020-21,1610612756,PHX,Phoenix Suns,11.04,11.521739130434783,13.72,14.652173913043478,20.0,20.0,-0.481739130434784,-0.9321739130434779
